dataset,target_size,fold,algorithm,repeat,final_size,time,metric1,metric2,selected_features
lucas_full,10,0,fsdr,0,9,22.7681,0.7874,0.0627,418-587-1172-1261-2020-2132-2992-3435-3810
lucas_full,10,0,fsdr,1,10,21.8583,0.7846,0.0631,410-1101-1424-2020-2021-2153-2167-2992-3421-3805
lucas_full,10,0,fsdr,2,10,22.2001,0.7899,0.0623,413-974-1117-1399-2020-2134-2145-2983-3435-3809
lucas_full,10,0,fsdr,3,9,22.3383,0.7885,0.0625,415-583-1088-1489-2020-2137-2988-3433-3810
lucas_full,10,0,fsdr,4,10,23.5797,0.7915,0.0621,416-1024-1203-1338-2020-2021-2652-3180-3444-3770
lucas_full,10,0,fsdr,5,10,22.8612,0.7923,0.062,413-418-1065-1484-1893-2147-2248-2997-3437-3808
lucas_full,10,0,fsdr,6,10,23.7305,0.7954,0.0615,430-595-1045-1396-2020-2152-2183-2987-3435-3806
lucas_full,10,0,fsdr,7,10,23.6146,0.7899,0.0623,413-764-1110-1728-2019-2020-2139-2983-3435-3810
lucas_full,10,0,fsdr,8,9,23.4324,0.7787,0.064,413-439-1109-1440-2018-2653-2987-2990-3809
lucas_full,10,0,fsdr,9,9,23.2812,0.7901,0.0623,409-977-1110-1440-2020-2128-2981-3440-3810
